Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"5/10/20, 18:22",Module Leader,-,Forum: Announcements,Forum,Some content has been posted.,The user with id '78727' has posted content in the forum post with id '796540' in the discussion '420408' located in the forum with course module id '117432'.,web,2.24.164.84
"5/10/20, 18:15",Module Leader,-,Forum: Announcements,Forum,Course module viewed,The user with id '78727' viewed the 'forum' activity with course module id '117432'.,web,2.24.164.84
"5/10/20, 18:12",Module Leader,-,External tool: Seminar 1: recording (5th October 2020),System,Course module updated,The user with id '78727' updated the 'lti' activity with course module id '2384027'.,web,2.24.164.84
"5/10/20, 18:12",Module Leader,-,External tool: Seminar 1: recording (5th October 2020),External tool,Course module viewed,The user with id '78727' viewed the 'lti' activity with course module id '2384027'.,web,2.24.164.84
"5/10/20, 18:11",Module Leader,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '78727' viewed the course with id '7102'.,web,2.24.164.84
"5/10/20, 18:11",Module Leader,-,External tool: Seminar 1: recording (5th October 2020),System,Course module created,The user with id '78727' created the 'lti' activity with course module id '2384027'.,web,2.24.164.84
"5/10/20, 18:11",Module Leader,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '78727' viewed the course with id '7102'.,web,2.24.164.84
"5/10/20, 18:10",Module Leader,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '78727' viewed the course with id '7102'.,web,2.24.164.84
"5/10/20, 15:11",Module Leader,-,Forum (Advanced): Discussion Forum (anonymous if you prefer) (copy),Forum (Advanced),Course module viewed,The user with id '78727' viewed the 'hsuforum' activity with course module id '2262967'.,web,2.24.164.84
"5/10/20, 15:11",Module Leader,-,Forum (Advanced): Discussion Forum (anonymous if you prefer) (copy),Forum (Advanced),Post created,The user with id '78727' has created the post with id '130544' in the discussion with id '41874' in the forum with the course module id '2262967'.,web,2.24.164.84
"5/10/20, 15:11",Module Leader,-,Forum (Advanced): Discussion Forum (anonymous if you prefer) (copy),Forum (Advanced),Some content has been posted.,The user with id '78727' has posted content in the forum post with id '130544' in the discussion '41874' located in the forum with the course module id '2262967'.,web,2.24.164.84
"5/10/20, 15:02",Module Leader,-,Forum (Advanced): Discussion Forum (anonymous if you prefer) (copy),Forum (Advanced),Discussion viewed,The user with id '78727' has viewed the discussion with id '41874' in the forum with the course module id '2262967'.,web,2.24.164.84
"5/10/20, 15:02",Module Leader,-,Forum (Advanced): Discussion Forum (anonymous if you prefer) (copy),Forum (Advanced),Course module viewed,The user with id '78727' viewed the 'hsuforum' activity with course module id '2262967'.,web,2.24.164.84
"5/10/20, 15:01",Module Leader,-,Forum (Advanced): Discussion Forum (anonymous if you prefer) (copy),Forum (Advanced),Post created,The user with id '78727' has created the post with id '130534' in the discussion with id '41831' in the forum with the course module id '2262967'.,web,2.24.164.84
